estado,estado_formatado
Acre,Acre
Alagoas,Alagoas
Amapá,Amap%C3%A1
Amazonas,Amazonas
Bahia,Bahia
Ceará,Cear%C3%A1
Distrito Federal,Distrito%20Federal
Espírito Santo,Esp%C3%ADrito%20Santo
Goiás,Goi%C3%A1s
Maranhão,Maranh%C3%A3o
Mato Grosso,Mato%20Grosso
Mato Grosso do Sul,Mato%20Grosso%20do%20Sul
Minas Gerais,Minas%20Gerais
Pará,Par%C3%A1
Paraíba,Para%C3%ADba
Paraná,Paran%C3%A1
Pernambuco,Pernambuco
Piauí,Piau%C3%AD
Rio de Janeiro,Rio%20de%20Janeiro
Rio Grande do Norte,Rio%20Grande%20do%20Norte
Rio Grande do Sul,Rio%20Grande%20do%20Sul
Rondônia,Rond%C3%B4nia
Roraima,Roraima
Santa Catarina,Santa%20Catarina
São Paulo,S%C3%A3o%20Paulo
Sergipe,Sergipe
Tocantins,Tocantins
